Items, Size, Frequency, Support, Score
Organic Chicken & Apple Sausage, 1, 13476, 0.0031008315594518183, 1.0
Tomato Sauce, 1, 13448, 0.0030943887512249963, 1.0
Iceberg Lettuce, 1, 13426, 0.003089326544761065, 1.0
Organic Free Range Chicken Broth, 1, 13376, 0.0030778215300703115, 1.0
100 Calorie  Per Bag Popcorn, 1, 13374, 0.0030773613294826814, 1.0
Toasted Coconut Almondmilk Blend, 1, 13367, 0.003075750627425976, 1.0
Almonds & Sea Salt in Dark Chocolate, 1, 13366, 0.0030755205271321613, 1.0
Organic Whole Kernel Sweet Corn No Salt Added, 1, 13330, 0.0030672369165548187, 1.0
Organic Whole Cashews, 1, 13292, 0.0030584931053898464, 1.0
Organic Whipped Naturally Buttery Spread, 1, 13215, 0.003040775382766086, 1.0
Organic Nectarine, 1, 13189, 0.0030347927751268947, 1.0
Ginger Ale, 1, 13170, 0.0030304208695444085, 1.0
Organic Good Seed Bread, 1, 13133, 0.003021907158673251, 1.0
Organic Milk Reduced Fat, 2% Milkfat, 1, 13119, 0.00301868575455984, 1.0
Organic Romaine Hearts, 1, 13119, 0.00301868575455984, 1.0
Cage Free Brown Eggs-Large, Grade A, 1, 13114, 0.0030175352530907645, 1.0
Potato Yukon Gold Organic, 1, 13101, 0.003014543949271169, 1.0
Grade A Large White Eggs, 1, 13088, 0.003011552645451573, 1.0
Organic Summer Strawberry Bunny Fruit Snacks, 1, 13043, 0.003001198132229895, 1.0
Green Seedless Grapes, 1, 13036, 0.0029995874301731898, 1.0
Sparkling Water, 1, 12994, 0.0029899232178329568, 1.0
Organic Thompson Seedless Raisins, 1, 12943, 0.0029781881028483883, 1.0
Organic Cauliflower, 1, 12936, 0.002976577400791683, 1.0
Whole Almonds, 1, 12922, 0.002973355996678272, 1.0
Organic Sunday Bacon, 1, 12912, 0.0029710549937401213, 1.0
Italian Extra Virgin Olive Oil, 1, 12897, 0.0029676034893328955, 1.0
Classic Hummus, 1, 12890, 0.00296599278727619, 1.0
Apples, 1, 12883, 0.0029643820852194845, 1.0
I Heart Baby Kale, 1, 12836, 0.0029535673714101767, 1.0
85% Lean Ground Beef, 1, 12765, 0.002937230250549307, 1.0
Kale Greens, 1, 12757, 0.0029353894481987863, 1.0
Crackers Cheddar Bunnies Snack Packs, 1, 12752, 0.002934238946729711, 1.0
Colby Cheese Sticks, 1, 12656, 0.0029121493185234647, 1.0
YoKids Blueberry & Strawberry/Vanilla Yogurt, 1, 12638, 0.002908007513234794, 1.0
Trail Mix, 1, 12601, 0.0028994938023636364, 1.0
Total 0% Raspberry Yogurt, 1, 12594, 0.0028978831003069307, 1.0
Organic Butterhead (Boston, Butter, Bibb) Lettuce, 1, 12565, 0.002891210191786294, 1.0
Cinnamon Rolls with Icing, 1, 12561, 0.0028902897906110336, 1.0
Vanilla Ice Cream, 1, 12560, 0.0028900596903172187, 1.0
Yogurt, Strained Low-Fat, Coconut, 1, 12560, 0.0028900596903172187, 1.0
Original Hot Sauce, 1, 12543, 0.0028861479853223623, 1.0
Organic 1% Low Fat Milk, 1, 12530, 0.0028831566815027665, 1.0
Organic Roasted Sliced Chicken Breast, 1, 12513, 0.0028792449765079105, 1.0
Hint Of Sea Salt Almond Nut Thins, 1, 12439, 0.0028622175547655957, 1.0
Organic Beef Uncured Hot Dogs, 1, 12432, 0.0028606068527088904, 1.0
Cream Cheese Spread, 1, 12398, 0.002852783442719178, 1.0
Organic Chopped Spinach, 1, 12366, 0.002845420233317096, 1.0
Natural Premium Coconut Water, 1, 12360, 0.0028440396315542057, 1.0
Crushed Tomatoes, 1, 12357, 0.0028433493306727602, 1.0
Organic Spinach Bunch, 1, 12318, 0.0028343754192139727, 1.0
Organic 21 Grain Thin Sliced Bread, 1, 12282, 0.0028260918086366305, 1.0
Kids Organic Chocolate Chip ZBars, 1, 12249, 0.0028184984989407334, 1.0
Organic Uncured Sliced Black Forest Ham, 1, 12242, 0.0028168877968840276, 1.0
Organic Fresh Basil, 1, 12193, 0.0028056128824870898, 1.0
Cola, 1, 12150, 0.002795718569853042, 1.0
Organic Apple Juice, 1, 12128, 0.0027906563633891103, 1.0
Organic Vegetable Broth, 1, 12126, 0.00279019616280148, 1.0
Oven Roasted Turkey, 1, 12113, 0.0027872048589818845, 1.0
Organic Honey Sweet Whole Wheat Bread, 1, 12088, 0.002781452351636508, 1.0
Organic Plain Greek Whole Milk Yogurt, 1, 12070, 0.0027773105463478366, 1.0
Organic Strawberry Smoothie, 1, 12053, 0.0027733988413529806, 1.0
Rainbow Bell Peppers, 1, 11987, 0.0027582122219611863, 1.0
Large Brown Eggs, 1, 11983, 0.002757291820785926, 1.0
Organic Vanilla Almond Milk, 1, 11979, 0.0027563714196106657, 1.0
Organic Small Curd Cottage Cheese, 1, 11963, 0.0027526898149096246, 1.0
Sweet Kale Salad Mix, 1, 11953, 0.002750388811971474, 1.0
Roasted Pine Nut Hummus, 1, 11921, 0.002743025602569392, 1.0
Vanilla Pure Almond Milk, 1, 11913, 0.0027411848002188714, 1.0
Smartwater, 1, 11874, 0.002732210888760084, 1.0
Organic Red On the Vine Tomato, 1, 11839, 0.0027241573784765566, 1.0
Organic Romaine Leaf, 1, 11816, 0.00271886507171881, 1.0
Tomato Paste, 1, 11782, 0.0027110416617290977, 1.0
Blackberry Cucumber Sparkling Water, 1, 11755, 0.002704828953796091, 1.0
Green Peas, 1, 11750, 0.002703678452327016, 1.0
Organic Chicken Broth, 1, 11747, 0.0027029881514455704, 1.0
Mandarin Oranges, 1, 11727, 0.0026983861455692694, 1.0
Mild Cheddar Cheese Sticks, 1, 11711, 0.0026947045408682283, 1.0
Pita Chips Simply Naked, 1, 11702, 0.002692633638223893, 1.0
Organic Strawberry Fruit Spread, 1, 11698, 0.0026917132370486326, 1.0
Original Whipped Cream Cheese, 1, 11695, 0.002691022936167187, 1.0
Organic Dark Chocolate Peanut Butter Cups, 1, 11672, 0.0026857306294094407, 1.0
Total 0% with Honey Nonfat Greek Strained Yogurt, 1, 11618, 0.0026733052135434273, 1.0
Organic Yellow Squash, 1, 11610, 0.0026714644111929067, 1.0
Green Tea With Ginseng and Honey, 1, 11595, 0.002668012906785681, 1.0
Marinara Pasta Sauce, 1, 11577, 0.0026638711014970095, 1.0
Organic Whole Wheat Bread, 1, 11565, 0.0026611098979712287, 1.0
Organic Chicken Strips, 1, 11561, 0.0026601894967959684, 1.0
Salted Tub of Butter, 1, 11548, 0.0026571981929763727, 1.0
Natural Artisan Water, 1, 11538, 0.002654897190038222, 1.0
Purified Water, 1, 11522, 0.002651215585337181, 1.0
Organic Dijon Mustard, 1, 11503, 0.0026468436797546947, 1.0
Vanilla Unsweetened Almond Milk, 1, 11488, 0.002643392175347469, 1.0
Original Semisoft Cheese, 1, 11486, 0.0026429319747598387, 1.0
Almond Breeze Original Almond Milk, 1, 11409, 0.0026252142521360784, 1.0
Organic Red Chard Greens, 1, 11365, 0.0026150898392082156, 1.0
Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs, 1, 11355, 0.002612788836270065, 1.0
Baby Arugula, 1, 11352, 0.00261209853538862, 1.0
Organic Macaroni Shells & Real Aged Cheddar, 1, 11316, 0.0026038149248112773, 1.0
Kiwi, 1, 11284, 0.0025964517154091955, 1.0
Coke Classic, 1, 11265, 0.0025920798098267093, 1.0
Sliced Black Olives, 1, 11225, 0.0025828757980741065, 1.0
Organic Pinto Beans, 1, 11214, 0.002580344694842141, 1.0
Aluminum Foil, 1, 11181, 0.0025727513851462437, 1.0
Organic Baby Kale Mix, 1, 11158, 0.0025674590783884973, 1.0
Organic Multigrain Waffles, 1, 11125, 0.0025598657686926, 1.0
Real Mayonnaise, 1, 11118, 0.0025582550666358944, 1.0
Medium Cheddar Cheese Block, 1, 11114, 0.002557334665460634, 1.0
Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars, 1, 11062, 0.002545369450182251, 1.0
Lime, 1, 11048, 0.00254214804606884, 1.0
Alpine Spring Water, 1, 11044, 0.0025412276448935796, 1.0
Firm Tofu, 1, 11043, 0.0025409975445997647, 1.0
Blood Oranges, 1, 11031, 0.002538236341073984, 1.0
Organic Chicken Stock, 1, 11029, 0.0025377761404863537, 1.0
Pure & Natural Sour Cream, 1, 11026, 0.0025370858396049087, 1.0
Nonfat Icelandic Style Strawberry Yogurt, 1, 11025, 0.0025368557393110934, 1.0
Organic Cream Cheese Bar, 1, 11018, 0.002535245037254388, 1.0
Whole Wheat Bread, 1, 11010, 0.0025334042349038676, 1.0
Organic Orange Bell Pepper, 1, 11005, 0.0025322537334347924, 1.0
Organic Whipping Cream, 1, 11002, 0.002531563432553347, 1.0
Boneless Skinless Chicken Thighs, 1, 10976, 0.002525580824914155, 1.0
Cheddar Bunnies Snack Crackers, 1, 10954, 0.002520518618450224, 1.0
Red Potatoes, 1, 10940, 0.002517297214336813, 1.0
Organic Frozen Mango Chunks, 1, 10938, 0.002516837013749183, 1.0
Walnut Halves & Pieces, 1, 10920, 0.0025126952084605116, 1.0
Naturals Chicken Nuggets, 1, 10915, 0.0025115447069914364, 1.0
Romaine Lettuce, 1, 10896, 0.0025071728014089503, 1.0
Mozzarella String Cheese, 1, 10890, 0.00250579219964606, 1.0
Cran Raspberry Sparkling Water, 1, 10868, 0.0025007299931821283, 1.0
Thin Crust Pepperoni Pizza, 1, 10859, 0.002498659090537793, 1.0
Mint, 1, 10857, 0.0024981988899501627, 1.0
Organic Italian Salad, 1, 10838, 0.0024938269843676765, 1.0
Orange Calcium & Vitamin D Pulp Free, 1, 10834, 0.0024929065831924163, 1.0
Collard Greens, 1, 10811, 0.0024876142764346694, 1.0
Vitamin D Organic Whole Milk, 1, 10797, 0.002484392872321259, 1.0
Organic Low Sodium Vegetable Broth, 1, 10787, 0.002482091869383108, 1.0
Organic Rosemary, 1, 10781, 0.0024807112676202177, 1.0
Whole Milk Ricotta Cheese, 1, 10781, 0.0024807112676202177, 1.0
Organic Medjool Dates, 1, 10780, 0.0024804811673264024, 1.0
Authentic French Brioche Hamburger Buns, 1, 10759, 0.002475649061156286, 1.0
Medium Navel Orange, 1, 10755, 0.002474728659981026, 1.0
Large Greenhouse Tomato, 1, 10750, 0.0024735781585119507, 1.0
Bunny-Luv Fresh Organic Carrots, 1, 10728, 0.002468515952048019, 1.0
Plain Bagels, 1, 10717, 0.0024659848488160535, 1.0
Organic Sea Salt Roasted Seaweed Snacks, 1, 10690, 0.002459772140883047, 1.0
Organic No Salt Added Diced Tomatoes, 1, 10661, 0.00245309923236241, 1.0
Fresh CA Grown Eggs, 1, 10657, 0.0024521788311871497, 1.0
Organic Boneless Skinless Chicken Breast, 1, 10641, 0.0024484972264861085, 1.0
Reduced Fat Milk 100% Lactose Free, 1, 10618, 0.002443204919728362, 1.0
Dried Mango, 1, 10596, 0.0024381427132644305, 1.0
Fresh Mozzarella Ball, 1, 10551, 0.0024277882000427525, 1.0
Roasted Turkey, 1, 10521, 0.0024208851912283008, 1.0
Dha Omega 3 Reduced Fat 2% Milk, 1, 10509, 0.00241812398770252, 1.0
Chopped Walnuts, 1, 10471, 0.0024093801765375476, 1.0
Strawberry Rhubarb Yoghurt, 1, 10468, 0.002408689875656102, 1.0
Mixed Fruit Fruit Snacks, 1, 10444, 0.0024031674686045405, 1.0
Boomchickapop Sea Salt Popcorn, 1, 10435, 0.002401096565960205, 1.0
Raspberry Preserves, 1, 10427, 0.0023992557636096845, 1.0
Organic Original Almond Milk, 1, 10380, 0.0023884410498003763, 1.0
Cage Free Large White Eggs, 1, 10375, 0.002387290548331301, 1.0
Organic Sliced Peaches, 1, 10300, 0.0023700330262951715, 1.0
Blueberry Yoghurt, 1, 10294, 0.002368652424532281, 1.0
Organic Mixed Vegetables, 1, 10275, 0.0023642805189497944, 1.0
Organic Golden Delicious Apple, 1, 10266, 0.002362209616305459, 1.0
Organic Quick Oats, 1, 10250, 0.002358528011604418, 1.0
Smoked Turkey Breast Slices, 1, 10190, 0.002344721993975514, 1.0
Fat Free Strawberry Yogurt, 1, 10162, 0.0023382791857486924, 1.0
Canola Oil, 1, 10151, 0.0023357480825167264, 1.0
Apple Cider Vinegar, 1, 10143, 0.002333907280166206, 1.0
Pulp Free Orange Juice, 1, 10121, 0.0023288450737022747, 1.0
Organic  Whole Milk, 1, 10102, 0.0023244731681197886, 1.0
Baby Seedless Cucumbers, 1, 10097, 0.002323322666650713, 1.0
Extra Fancy Unsalted Mixed Nuts, 1, 10030, 0.002307905946965104, 1.0
ALMONDBREEZE UNSWEETENED, 1, 9977, 0.0022957106313929053, 1.0
Organic Braeburn Apple, 1, 9962, 0.0022922591269856794, 1.0
Lemon Sparkling Water, 1, 9956, 0.002290878525222789, 1.0
Reduced Fat Milk, 1, 9946, 0.0022885775222846383, 1.0
Organic Extra Large Brown Eggs, 1, 9910, 0.0022802939117072957, 1.0
Butternut Squash, 1, 9879, 0.0022731608025990287, 1.0
Unrefined Virgin Coconut Oil, 1, 9835, 0.002263036389671166, 1.0
Organic Greek Whole Milk Blended Vanilla Bean Yogurt, 1, 9812, 0.0022577440829134195, 1.0
Honey Yoghurt, 1, 9803, 0.002255673180269084, 1.0
Organic Red Potato, 1, 9792, 0.002253142077037118, 1.0
Organic Vanilla Extract, 1, 9777, 0.0022496905726298922, 1.0
Bicolor Sweet Corn, 1, 9764, 0.0022466992688102965, 1.0
Original Popcorn, 1, 9740, 0.002241176861758735, 1.0
Red Seedless Grapes, 1, 9736, 0.0022402564605834745, 1.0
Organic Orange Juice, 1, 9728, 0.002238415658232954, 1.0
Organic Mango, 1, 9695, 0.0022308223485370568, 1.0
Gluten Free Chocolate Chip Cookies, 1, 9659, 0.0022225387379597146, 1.0
Black Plum, 1, 9649, 0.002220237735021564, 1.0
Kiwi Sandia Sparkling Water, 1, 9613, 0.0022119541244442213, 1.0
Organic Red Grapes, 1, 9584, 0.0022052812159235845, 1.0
Organic Unbleached All-Purpose Flour, 1, 9583, 0.0022050511156297696, 1.0
Organic Distilled White Vinegar, 1, 9495, 0.0021848022897740437, 1.0
Fat Free Skim Milk, 1, 9462, 0.0021772089800781466, 1.0
Natural Free & Clear Dish Liquid, 1, 9452, 0.002174907977139996, 1.0
Supergreens!, 1, 9413, 0.0021659340656812083, 1.0
Whole Organic Omega 3 Milk, 1, 9410, 0.0021652437647997633, 1.0
Taco Seasoning, 1, 9397, 0.0021622524609801676, 1.0
Vitamin D Whole Milk, 1, 9391, 0.002160871859217277, 1.0
Curate Cherry Lime Sparkling Water, 1, 9389, 0.002160411658629647, 1.0
Lemon Yogurt, 1, 9386, 0.0021597213577482016, 1.0
Organic Simply Naked Pita Chips, 1, 9373, 0.002156730053928606, 1.0
Panko Bread Crumbs, 1, 9372, 0.0021564999536347906, 1.0
Eggo Homestyle Waffles, 1, 9350, 0.0021514377471708594, 1.0
French Vanilla Creamer, 1, 9349, 0.002151207646877044, 1.0
Synergy Organic Kombucha Gingerberry, 1, 9276, 0.0021344103254285446, 1.0
Coconut Water, 1, 9262, 0.0021311889213151336, 1.0
No Pulp Calcium & Vitamin D Pure Orange Juice, 1, 9253, 0.002129118018670798, 1.0
Red Leaf Lettuce, 1, 9247, 0.0021277374169079077, 1.0
Cold Brew Coffee, 1, 9243, 0.0021268170157326474, 1.0
Organic Lemonade, 1, 9239, 0.002125896614557387, 1.0
Vanilla Skyr Style Yogurt, 1, 9233, 0.0021245160127944967, 1.0
Dressing, Jersey Sweet Onion, Calorie Free, 1, 9232, 0.002124285912500682, 1.0
Organic Riced Cauliflower, 1, 9189, 0.002114391599866634, 1.0
Whole Strawberries, 1, 9187, 0.002113931399279004, 1.0
Organic Large Grade AA Omega-3 Eggs, 1, 9183, 0.0021130109981037436, 1.0
Plain Pre-Sliced Bagels, 1, 9183, 0.0021130109981037436, 1.0
Almond Nut & Rice Cracker Snacks, 1, 9137, 0.0021024263845882507, 1.0
Organic Mayonnaise, 1, 9137, 0.0021024263845882507, 1.0
Parsley, Italian (Flat), New England Grown, 1, 9118, 0.002098054479005764, 1.0
Apple Cinnamon GoGo Squeez, 1, 9108, 0.0020957534760676134, 1.0
Grade A Large Eggs Cage Free Omega 3, 1, 9108, 0.0020957534760676134, 1.0
Red Plums, 1, 9105, 0.0020950631751861684, 1.0
Baby Food Stage 2 Blueberry Pear & Purple Carrot, 1, 9103, 0.0020946029745985383, 1.0
Low Fat 1% Milk, 1, 9091, 0.0020918417710727574, 1.0
Crunchy Oats 'n Honey Granola Bars, 1, 9082, 0.002089770868428422, 1.0
Non Fat Acai & Mixed Berries Yogurt, 1, 9082, 0.002089770868428422, 1.0
Gold Potato, 1, 9048, 0.0020819474584387095, 1.0
Milk, Vitamin D, 1, 9038, 0.0020796464555005592, 1.0
Organic Homestyle Waffles, 1, 8977, 0.00206561033757784, 1.0
White Peach, 1, 8973, 0.00206468993640258, 1.0
Grape Tomatoes, 1, 8959, 0.002061468532289169, 1.0
Organic Long Grain White Rice, 1, 8957, 0.0020610083317015387, 1.0
1% Low Fat Milk, 1, 8933, 0.0020554859246499774, 1.0
YoBaby Peach Pear Yogurt, 1, 8926, 0.0020538752225932717, 1.0
Chopped Spinach, 1, 8923, 0.0020531849217118267, 1.0
Gluten Free 7 Grain Bread, 1, 8911, 0.002050423718186046, 1.0
Zero Calorie Cola, 1, 8905, 0.0020490431164231554, 1.0
Corn Chips, 1, 8891, 0.0020458217123097444, 1.0
Air Chilled Breaded Chicken Breast Nuggets, 1, 8878, 0.0020428304084901486, 1.0
All Natural Marinara Sauce, 1, 8864, 0.0020396090043767376, 1.0
Organic Red Potatoes, 1, 8858, 0.002038228402613847, 1.0
Cane Sugar, 1, 8855, 0.002037538101732402, 1.0
Cheese Pizza Snacks, 1, 8851, 0.002036617700557142, 1.0
Organic Raw Unfiltered Apple Cider Vinegar, 1, 8815, 0.0020283340899797993, 1.0
Organic Chicken Bone Broth, 1, 8807, 0.0020264932876292788, 1.0
Organic Low Fat Milk, 1, 8806, 0.002026263187335464, 1.0
Honey Greek Yogurt, 1, 8792, 0.002023041783222053, 1.0
Pesto Tortellini  Bowls, 1, 8785, 0.0020214310811653476, 1.0
Chicken Breast Tenders Breaded, 1, 8773, 0.0020186698776395668, 1.0
Sliced White Mushrooms, 1, 8760, 0.002015678573819971, 1.0
Organic Lactose Free Whole Milk, 1, 8742, 0.0020115367685312998, 1.0
Raspberry Yoghurt, 1, 8740, 0.0020110765679436696, 1.0
Roasted & Salted Almonds, 1, 8727, 0.002008085264124074, 1.0
Original Rice Pilaf Mix, 1, 8726, 0.0020078551638302586, 1.0
100% Pure Pumpkin, 1, 8725, 0.0020076250635364438, 1.0
Honeydew Melon, 1, 8721, 0.0020067046623611835, 1.0
Organic Lightly Salted Brown Rice Cakes, 1, 8720, 0.002006474562067368, 1.0
Veggie Chips, 1, 8711, 0.0020044036594230328, 1.0
Provolone, 1, 8705, 0.0020030230576601423, 1.0
Organic English Cucumber, 1, 8676, 0.0019963501491395055, 1.0
Sweet Potatoes, 1, 8672, 0.001995429747964245, 1.0
Tommy/Kent/Keitt/Haden Mango, 1, 8671, 0.0019951996476704303, 1.0
Uncured Black Forest Ham, 1, 8661, 0.0019928986447322796, 1.0
Red Mango, 1, 8649, 0.0019901374412064987, 1.0
Macaroni Shells & White Cheddar Cheese, 1, 8648, 0.0019899073409126835, 1.0
Organic Sugar Snap Peas, 1, 8642, 0.001988526739149793, 1.0
Backyard Barbeque Potato Chips, 1, 8640, 0.001988066538562163, 1.0
Crunchy Almond Butter, 1, 8637, 0.001987376237680718, 1.0
Traditional Plain Greek Yogurt, 1, 8621, 0.0019836946329796767, 1.0
Lowfat Vanilla Yogurt, 1, 8597, 0.0019781722259281155, 1.0
Yobaby Organic Plain Yogurt, 1, 8585, 0.0019754110224023346, 1.0
Organic Shredded Mild Cheddar, 1, 8583, 0.0019749508218147045, 1.0
Emmentaler Swiss Slices, 1, 8578, 0.001973800320345629, 1.0
Garlic Hummus, 1, 8558, 0.001969198314469328, 1.0
Chocolate Chip Cookie Dough Ice Cream, 1, 8555, 0.0019685080135878824, 1.0
Organic Bagged Carrots, 1, 8555, 0.0019685080135878824, 1.0
Sauvignon Blanc, 1, 8541, 0.0019652866094744714, 1.0
Traditional Hummus, 1, 8539, 0.0019648264088868413, 1.0
Organic Sliced White Mushrooms, 1, 8512, 0.0019586137009538346, 1.0
Garlic & Fine Herbs Gournay Cheese, 1, 8511, 0.0019583836006600197, 1.0
Organic Blueberry Waffles, 1, 8511, 0.0019583836006600197, 1.0
Cauliflower Florets, 1, 8508, 0.0019576932997785743, 1.0
Natural Classic Pork Breakfast Sausage, 1, 8497, 0.0019551621965466087, 1.0
Dairy Free Unsweetened Coconut Milk, 1, 8495, 0.0019547019959589786, 1.0
Naturals Savory Turkey Breakfast Sausage, 1, 8493, 0.0019542417953713484, 1.0
Organic Wheat-Free & Gluten-Free Original Crackers, 1, 8489, 0.001953321394196088, 1.0
Crescent Rolls, 1, 8479, 0.0019510203912579376, 1.0
Organic Cinnamon Crunch Cereal, 1, 8457, 0.001945958184794006, 1.0
Organic Short Grain Brown Rice, 1, 8452, 0.001944807683324931, 1.0
Spaghetti  No 12, 1, 8452, 0.001944807683324931, 1.0
Apple Juice, 1, 8448, 0.0019438872821496706, 1.0
Bunny Pasta with Yummy Cheese Macaroni & Cheese, 1, 8435, 0.0019408959783300747, 1.0
Dark Chocolate Pretzels with Sea Salt, 1, 8423, 0.0019381347748042939, 1.0
Spaghetti Pasta, 1, 8399, 0.0019326123677527323, 1.0
Organic Green Onions, 1, 8391, 0.0019307715654022118, 1.0
Squeeze Tomato Ketchup, 1, 8382, 0.0019287006627578763, 1.0
Serrano Chile Peppers, 1, 8354, 0.0019222578545310546, 1.0
Pure Baking Soda, 1, 8339, 0.0019188063501238285, 1.0
Organic Lite Coconut Milk, 1, 8307, 0.0019114431407217464, 1.0
Juice Beverage, Cold Pressed, Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon, 1, 8306, 0.0019112130404279313, 1.0
Uncured Pepperoni, 1, 8306, 0.0019112130404279313, 1.0
Wild Berry Smoothie, 1, 8305, 0.0019109829401341163, 1.0
Spinach Peas & Pear Stage 2 Baby Food, 1, 8303, 0.0019105227395464861, 1.0
Organic Beans & Rice Cheddar Cheese Burrito, 1, 8291, 0.0019077615360207053, 1.0
Oats & Honey Gluten Free Granola, 1, 8290, 0.0019075314357268902, 1.0
Organic Stringles Mozzarella String Cheese, 1, 8287, 0.0019068411348454452, 1.0
Yogurt, Lowfat, Strawberry, 1, 8279, 0.0019050003324949246, 1.0
Unsweetened Coconut Milk Beverage, 1, 8275, 0.0019040799313196643, 1.0
ZBar Organic Chocolate Brownie Energy Snack, 1, 8252, 0.001898787624561918, 1.0
Vanilla Almond Breeze, 1, 8221, 0.0018916545154536509, 1.0
Organic Chicken Thighs, 1, 8204, 0.0018877428104587947, 1.0
YoBaby Blueberry Apple Yogurt, 1, 8180, 0.0018822204034072332, 1.0
Organic Cottage Cheese, 1, 8177, 0.001881530102525788, 1.0
Organic Cannellini Beans, 1, 8170, 0.0018799194004690825, 1.0
Sonoma Traditional Flour Tortillas 10 Count, 1, 8164, 0.001878538798706192, 1.0
White Cheddar Popcorn, 1, 8158, 0.0018771581969433016, 1.0
Sweet Potato Tortilla Chips, 1, 8153, 0.0018760076954742265, 1.0
Organic Red Lentils, 1, 8132, 0.00187117558930411, 1.0
Raisins, 1, 8129, 0.0018704852884226647, 1.0
Cheerios Cereal, 1, 8125, 0.0018695648872474044, 1.0
Fancy Eggplant, 1, 8120, 0.0018684143857783293, 1.0
Mini Cucumbers, 1, 8119, 0.0018681842854845142, 1.0
Organic Sliced Crimini Mushrooms, 1, 8114, 0.0018670337840154389, 1.0
Plain Mini Bagels, 1, 8105, 0.0018649628813711032, 1.0
Peach on the Bottom Nonfat Greek Yogurt, 1, 8092, 0.0018619715775515073, 1.0
Grated Parmesan Cheese, 1, 8074, 0.0018578297722628362, 1.0
Icelandic Style Fat Free Plain Yogurt, 1, 8044, 0.0018509267634483843, 1.0
Dha Omega 3 Vitamin D Milk, 1, 8040, 0.001850006362273124, 1.0
Scoops! Tortilla Chips, 1, 8023, 0.0018460946572782678, 1.0
Everything Bagels, 1, 8021, 0.0018456344566906376, 1.0
Original Real Vegetable Chips, 1, 8018, 0.0018449441558091926, 1.0
Jalapeno Hummus, 1, 8005, 0.0018419528519895967, 1.0
Passionfruit Sparkling Water, 1, 8001, 0.0018410324508143364, 1.0
Root Beer, 1, 7982, 0.0018366605452318503, 1.0
Organic Muenster Cheese Slices, 1, 7975, 0.0018350498431751448, 1.0
Premium Pure Cane Granulated Sugar, 1, 7969, 0.0018336692414122543, 1.0
Yukon Gold Potatoes 5lb Bag, 1, 7969, 0.0018336692414122543, 1.0
Pink Lady (Cripps) Apple, 1, 7954, 0.0018302177370050285, 1.0
Penne Pasta, 1, 7942, 0.0018274565334792476, 1.0
Organic Edamame, 1, 7924, 0.0018233147281905763, 1.0
Strawberry on the Bottom Nonfat Greek Yogurt, 1, 7921, 0.0018226244273091311, 1.0
Peanut Butter Chocolate Chip Fruit & Nut Food Bar, 1, 7917, 0.001821704026133871, 1.0
Yellow Grape Tomatoes, 1, 7903, 0.00181848262202046, 1.0
Natural Sharp Cheddar Sliced Cheese, 1, 7894, 0.0018164117193761244, 1.0
Organic Hot House Tomato, 1, 7894, 0.0018164117193761244, 1.0
93% Ground Beef, 1, 7885, 0.001814340816731789, 1.0
Lowfat Small Curd Cottage Cheese, 1, 7883, 0.0018138806161441588, 1.0
No Pulp Calcium & Vitamin D Pure Premium 100% Pure Orange Juice, 1, 7870, 0.001810889312324563, 1.0
Mini Seedless Cucumbers, 1, 7853, 0.001806977607329707, 1.0
Authentic French Brioche, 1, 7843, 0.0018046766043915562, 1.0
Club Soda, 1, 7838, 0.0018035261029224808, 1.0
Organic Lactose Free 1% Lowfat Milk, 1, 7838, 0.0018035261029224808, 1.0
Milk, Reduced Fat, 2% Milkfat, 1, 7835, 0.0018028358020410356, 1.0
Shells & Real Aged Cheddar Macaroni & Cheese, 1, 7832, 0.0018021455011595904, 1.0
Organic White Cheddar Popcorn, 1, 7825, 0.001800534799102885, 1.0
Basil, 1, 7822, 0.0017998444982214397, 1.0
Organic Penne Rigate, 1, 7818, 0.0017989240970461796, 1.0
Thick & Crispy Tortilla Chips, 1, 7816, 0.0017984638964585495, 1.0
Organic Mango Chunks, 1, 7799, 0.0017945521914636932, 1.0
Purity Farms Ghee Clarified Butter, 1, 7791, 0.0017927113891131727, 1.0
Light Semisoft Cheese, 1, 7788, 0.0017920210882317275, 1.0
Goldfish Cheddar Baked Snack Crackers, 1, 7775, 0.0017890297844121317, 1.0
Original Black Box Tablewater Cracker, 1, 7775, 0.0017890297844121317, 1.0
Cherrios Honey Nut, 1, 7773, 0.0017885695838245016, 1.0
Celery Sticks, 1, 7760, 0.0017855782800049057, 1.0
Crispy Wheat, Crackers, 1, 7748, 0.001782817076479125, 1.0
Apple Pie Fruit & Nut Food Bar, 1, 7728, 0.0017782150706028236, 1.0
Broccoli Florettes, 1, 7696, 0.0017708518612007415, 1.0
Organic Purple Kale, 1, 7672, 0.00176532945414918, 1.0
Original Rotisserie Chicken, 1, 7667, 0.0017641789526801047, 1.0
Mediterranean Mint Gelato, 1, 7656, 0.0017616478494481389, 1.0
Presliced Everything Bagels, 1, 7648, 0.0017598070470976185, 1.0
Organic Free Range Low Sodium Chicken Broth, 1, 7641, 0.001758196345040913, 1.0
Whole Grain Cheddar Baked Snack Crackers, 1, 7628, 0.001755205041221317, 1.0
Organic Mountain Forest Amber Honey, 1, 7625, 0.0017545147403398719, 1.0
